tilt,pan,total_images,true_positives,false_positives,false_negatives,precision,recall,f1_score,accuracy,conf_threshold,scale
60,-75,30,19,0,11,1.0000,0.6333,0.7755,0.6333,0.9,56
60,-60,30,22,0,8,1.0000,0.7333,0.8462,0.7333,0.9,56
60,-45,30,20,0,10,1.0000,0.6667,0.8000,0.6667,0.9,56
60,-30,30,24,0,6,1.0000,0.8000,0.8889,0.8000,0.9,56
60,-15,30,22,0,8,1.0000,0.7333,0.8462,0.7333,0.9,56
60,0,30,20,0,10,1.0000,0.6667,0.8000,0.6667,0.9,56
60,15,30,20,0,10,1.0000,0.6667,0.8000,0.6667,0.9,56
60,30,30,22,0,8,1.0000,0.7333,0.8462,0.7333,0.9,56
60,45,30,24,0,6,1.0000,0.8000,0.8889,0.8000,0.9,56
60,60,30,20,0,10,1.0000,0.6667,0.8000,0.6667,0.9,56
60,75,30,22,0,8,1.0000,0.7333,0.8462,0.7333,0.9,56
60,90,30,19,0,11,1.0000,0.6333,0.7755,0.6333,0.9,56
90,0,30,2,0,28,1.0000,0.0667,0.1250,0.0667,0.9,56
