tilt,pan,total_images,true_positives,false_positives,false_negatives,precision,recall,f1_score,accuracy,conf_threshold,scale
-90,0,30,2,0,28,1.0000,0.0667,0.1250,0.0667,0.9,48
-60,-90,30,13,0,17,1.0000,0.4333,0.6047,0.4333,0.9,48
-60,-75,30,10,0,20,1.0000,0.3333,0.5000,0.3333,0.9,48
-60,-60,30,12,0,18,1.0000,0.4000,0.5714,0.4000,0.9,48
-60,-45,30,16,0,14,1.0000,0.5333,0.6957,0.5333,0.9,48
-60,-30,30,14,0,16,1.0000,0.4667,0.6364,0.4667,0.9,48
-60,-15,30,8,0,22,1.0000,0.2667,0.4211,0.2667,0.9,48
-60,0,30,5,0,25,1.0000,0.1667,0.2857,0.1667,0.9,48
-60,15,30,8,0,22,1.0000,0.2667,0.4211,0.2667,0.9,48
-60,30,30,6,0,24,1.0000,0.2000,0.3333,0.2000,0.9,48
-60,45,30,5,0,25,1.0000,0.1667,0.2857,0.1667,0.9,48
-60,60,30,6,0,24,1.0000,0.2000,0.3333,0.2000,0.9,48
-60,75,30,3,0,27,1.0000,0.1000,0.1818,0.1000,0.9,48
-60,90,30,3,0,27,1.0000,0.1000,0.1818,0.1000,0.9,48
-30,-90,30,18,0,12,1.0000,0.6000,0.7500,0.6000,0.9,48
-30,-75,30,23,0,7,1.0000,0.7667,0.8679,0.7667,0.9,48
-30,-60,30,25,0,5,1.0000,0.8333,0.9091,0.8333,0.9,48
-30,-45,30,27,0,3,1.0000,0.9000,0.9474,0.9000,0.9,48
-30,-30,30,23,0,7,1.0000,0.7667,0.8679,0.7667,0.9,48
-30,-15,30,16,0,14,1.0000,0.5333,0.6957,0.5333,0.9,48
-30,0,30,14,0,16,1.0000,0.4667,0.6364,0.4667,0.9,48
-30,15,30,14,0,16,1.0000,0.4667,0.6364,0.4667,0.9,48
-30,30,30,17,0,13,1.0000,0.5667,0.7234,0.5667,0.9,48
-30,45,30,13,0,17,1.0000,0.4333,0.6047,0.4333,0.9,48
-30,60,30,14,0,16,1.0000,0.4667,0.6364,0.4667,0.9,48
-30,75,30,14,0,16,1.0000,0.4667,0.6364,0.4667,0.9,48
-30,90,30,10,0,20,1.0000,0.3333,0.5000,0.3333,0.9,48
-15,-90,30,20,0,10,1.0000,0.6667,0.8000,0.6667,0.9,48
-15,-75,30,25,0,5,1.0000,0.8333,0.9091,0.8333,0.9,48
-15,-60,30,26,0,4,1.0000,0.8667,0.9286,0.8667,0.9,48
-15,-45,30,28,0,2,1.0000,0.9333,0.9655,0.9333,0.9,48
-15,-30,30,24,0,6,1.0000,0.8000,0.8889,0.8000,0.9,48
-15,-15,30,21,0,9,1.0000,0.7000,0.8235,0.7000,0.9,48
-15,0,30,25,0,5,1.0000,0.8333,0.9091,0.8333,0.9,48
-15,15,30,26,0,4,1.0000,0.8667,0.9286,0.8667,0.9,48
