tilt,pan,total_images,true_positives,false_positives,false_negatives,precision,recall,f1_score,accuracy,conf_threshold,scale
-90,0,30,27,80,3,0.2523,0.9000,0.3942,0.2455,0.9,40
-60,-90,30,30,81,0,0.2703,1.0000,0.4255,0.2703,0.9,40
-60,-75,30,30,78,0,0.2778,1.0000,0.4348,0.2778,0.9,40
-60,-60,30,30,75,0,0.2857,1.0000,0.4444,0.2857,0.9,40
-60,-45,30,30,79,0,0.2752,1.0000,0.4317,0.2752,0.9,40
-60,-30,30,30,85,0,0.2609,1.0000,0.4138,0.2609,0.9,40
-60,-15,30,30,88,0,0.2542,1.0000,0.4054,0.2542,0.9,40
-60,0,30,30,85,0,0.2609,1.0000,0.4138,0.2609,0.9,40
-60,15,30,30,84,0,0.2632,1.0000,0.4167,0.2632,0.9,40
-60,30,30,30,80,0,0.2727,1.0000,0.4286,0.2727,0.9,40
-60,45,30,30,81,0,0.2703,1.0000,0.4255,0.2703,0.9,40
-60,60,30,30,83,0,0.2655,1.0000,0.4196,0.2655,0.9,40
-60,75,30,30,86,0,0.2586,1.0000,0.4110,0.2586,0.9,40
-60,90,30,30,83,0,0.2655,1.0000,0.4196,0.2655,0.9,40
-30,-90,30,30,83,0,0.2655,1.0000,0.4196,0.2655,0.9,40
-30,-75,30,30,77,0,0.2804,1.0000,0.4380,0.2804,0.9,40
-30,-60,30,30,75,0,0.2857,1.0000,0.4444,0.2857,0.9,40
-30,-45,30,30,82,0,0.2679,1.0000,0.4225,0.2679,0.9,40
-30,-30,30,30,87,0,0.2564,1.0000,0.4082,0.2564,0.9,40
-30,-15,30,30,89,0,0.2521,1.0000,0.4027,0.2521,0.9,40
-30,0,30,30,87,0,0.2564,1.0000,0.4082,0.2564,0.9,40
-30,15,30,30,85,0,0.2609,1.0000,0.4138,0.2609,0.9,40
-30,30,30,30,77,0,0.2804,1.0000,0.4380,0.2804,0.9,40
-30,45,30,30,83,0,0.2655,1.0000,0.4196,0.2655,0.9,40
-30,60,30,30,83,0,0.2655,1.0000,0.4196,0.2655,0.9,40
-30,75,30,30,83,0,0.2655,1.0000,0.4196,0.2655,0.9,40
-30,90,30,30,84,0,0.2632,1.0000,0.4167,0.2632,0.9,40
-15,-90,30,30,75,0,0.2857,1.0000,0.4444,0.2857,0.9,40
-15,-75,30,30,73,0,0.2913,1.0000,0.4511,0.2913,0.9,40
-15,-60,30,30,81,0,0.2703,1.0000,0.4255,0.2703,0.9,40
-15,-45,30,30,86,0,0.2586,1.0000,0.4110,0.2586,0.9,40
-15,-30,30,30,87,0,0.2564,1.0000,0.4082,0.2564,0.9,40
-15,-15,30,30,90,0,0.2500,1.0000,0.4000,0.2500,0.9,40
-15,0,30,30,89,0,0.2521,1.0000,0.4027,0.2521,0.9,40
-15,15,30,30,81,0,0.2703,1.0000,0.4255,0.2703,0.9,40
-15,30,30,30,81,0,0.2703,1.0000,0.4255,0.2703,0.9,40
-15,45,30,30,79,0,0.2752,1.0000,0.4317,0.2752,0.9,40
-15,60,30,30,82,0,0.2679,1.0000,0.4225,0.2679,0.9,40
-15,75,30,30,84,0,0.2632,1.0000,0.4167,0.2632,0.9,40
-15,90,30,30,84,0,0.2632,1.0000,0.4167,0.2632,0.9,40
0,-90,30,30,72,0,0.2941,1.0000,0.4545,0.2941,0.9,40
0,-75,30,30,80,0,0.2727,1.0000,0.4286,0.2727,0.9,40
0,-60,30,30,87,0,0.2564,1.0000,0.4082,0.2564,0.9,40
0,-45,30,30,88,0,0.2542,1.0000,0.4054,0.2542,0.9,40
0,-30,30,30,89,0,0.2521,1.0000,0.4027,0.2521,0.9,40
0,-15,30,30,87,0,0.2564,1.0000,0.4082,0.2564,0.9,40
0,0,30,30,85,0,0.2609,1.0000,0.4138,0.2609,0.9,40
0,15,30,30,79,0,0.2752,1.0000,0.4317,0.2752,0.9,40
0,30,30,30,79,0,0.2752,1.0000,0.4317,0.2752,0.9,40
0,45,30,30,80,0,0.2727,1.0000,0.4286,0.2727,0.9,40
0,60,30,30,80,0,0.2727,1.0000,0.4286,0.2727,0.9,40
0,75,30,30,80,0,0.2727,1.0000,0.4286,0.2727,0.9,40
0,90,30,30,83,0,0.2655,1.0000,0.4196,0.2655,0.9,40
15,-90,30,30,77,0,0.2804,1.0000,0.4380,0.2804,0.9,40
15,-75,30,30,87,0,0.2564,1.0000,0.4082,0.2564,0.9,40
15,-60,30,30,88,0,0.2542,1.0000,0.4054,0.2542,0.9,40
15,-45,30,30,88,0,0.2542,1.0000,0.4054,0.2542,0.9,40
15,-30,30,30,89,0,0.2521,1.0000,0.4027,0.2521,0.9,40
15,-15,30,30,90,0,0.2500,1.0000,0.4000,0.2500,0.9,40
15,0,30,30,87,0,0.2564,1.0000,0.4082,0.2564,0.9,40
15,15,30,30,79,0,0.2752,1.0000,0.4317,0.2752,0.9,40
15,30,30,30,77,0,0.2804,1.0000,0.4380,0.2804,0.9,40
15,45,30,30,78,0,0.2778,1.0000,0.4348,0.2778,0.9,40
15,60,30,30,81,0,0.2703,1.0000,0.4255,0.2703,0.9,40
15,75,30,30,79,0,0.2752,1.0000,0.4317,0.2752,0.9,40
15,90,30,30,83,0,0.2655,1.0000,0.4196,0.2655,0.9,40
30,-90,30,30,89,0,0.2521,1.0000,0.4027,0.2521,0.9,40
30,-75,30,30,90,0,0.2500,1.0000,0.4000,0.2500,0.9,40
30,-60,30,30,88,0,0.2542,1.0000,0.4054,0.2542,0.9,40
30,-45,30,30,90,0,0.2500,1.0000,0.4000,0.2500,0.9,40
30,-30,30,30,89,0,0.2521,1.0000,0.4027,0.2521,0.9,40
30,-15,30,30,87,0,0.2564,1.0000,0.4082,0.2564,0.9,40
30,0,30,30,82,0,0.2679,1.0000,0.4225,0.2679,0.9,40
30,15,30,30,79,0,0.2752,1.0000,0.4317,0.2752,0.9,40
30,30,30,30,77,0,0.2804,1.0000,0.4380,0.2804,0.9,40
30,45,30,30,79,0,0.2752,1.0000,0.4317,0.2752,0.9,40
30,60,30,30,78,0,0.2778,1.0000,0.4348,0.2778,0.9,40
30,75,30,30,81,0,0.2703,1.0000,0.4255,0.2703,0.9,40
30,90,30,30,81,0,0.2703,1.0000,0.4255,0.2703,0.9,40
60,-90,30,30,88,0,0.2542,1.0000,0.4054,0.2542,0.9,40
60,-75,30,30,88,0,0.2542,1.0000,0.4054,0.2542,0.9,40
60,-60,30,30,88,0,0.2542,1.0000,0.4054,0.2542,0.9,40
60,-45,30,30,87,0,0.2564,1.0000,0.4082,0.2564,0.9,40
60,-30,30,30,86,0,0.2586,1.0000,0.4110,0.2586,0.9,40
60,-15,30,30,82,0,0.2679,1.0000,0.4225,0.2679,0.9,40
60,0,30,30,83,0,0.2655,1.0000,0.4196,0.2655,0.9,40
60,15,30,30,83,0,0.2655,1.0000,0.4196,0.2655,0.9,40
60,30,30,30,82,0,0.2679,1.0000,0.4225,0.2679,0.9,40
60,45,30,30,79,0,0.2752,1.0000,0.4317,0.2752,0.9,40
60,60,30,30,78,0,0.2778,1.0000,0.4348,0.2778,0.9,40
60,75,30,30,81,0,0.2703,1.0000,0.4255,0.2703,0.9,40
60,90,30,30,83,0,0.2655,1.0000,0.4196,0.2655,0.9,40
90,0,30,29,84,1,0.2566,0.9667,0.4056,0.2544,0.9,40
